config,model_id,num_offload,type,task,latency(item/s),elapsed_time(s),length,rouge-1,rouge-2,rouge-l,rouge-lsum,model_memory(gb),peak_memory(gb),n_shot,num_iter
motivation,microsoft/Phi-3-medium-4k-instruct,4,base,xsum,172.50844449043274,8625.422224521637,50,0.06897914076944148,0.018851782305350527,0.0582053065826952,0.057878631071428974,23.535947799682617,27.38798952102661,1,1
motivation,microsoft/Phi-3-medium-4k-instruct,4,base,cnn_dailymail,172.415814037323,8620.79070186615,50,0.14577198613870485,0.055181982817665065,0.11392010920789408,0.1137715439653545,23.535947799682617,30.369731426239014,1,1
motivation,microsoft/Phi-3-medium-4k-instruct,4,ssd_naive,xsum,175.35906775951386,8767.953387975693,50,0.06864249156142599,0.016868073890597003,0.05661723567711316,0.05694498576833586,23.535947799682617,27.38709831237793,1,1
motivation,microsoft/Phi-3-medium-4k-instruct,4,ssd_naive,cnn_dailymail,191.74753766536713,9587.376883268356,50,0.14415154957702397,0.05409946184511934,0.1122732665650911,0.11256666810954769,23.535947799682617,30.369314193725586,1,1
motivation,microsoft/Phi-3-medium-4k-instruct,4,ssd,xsum,85.04419748306275,4252.209874153137,50,0.06817459660277239,0.01671474926092089,0.05653486619852202,0.05691701055242705,23.535947799682617,27.38709831237793,1,1
motivation,microsoft/Phi-3-medium-4k-instruct,4,ssd,cnn_dailymail,110.5446739768982,5527.23369884491,50,0.1432838019463996,0.05419452521848191,0.11243178283876837,0.11247362932355318,23.535947799682617,30.370563507080078,1,1
