type,iter,elapsed_time,token/s,th_stop_draft,skipped_attn,skipped_mlp
base,0,63.66955375671387,4.020760079114033,0.6,0,0
ssd,0,77.47239446640015,3.3044028361744706,0.8010000000000027,14,13
ssd,1,75.84563159942627,3.375276790521664,0.7420000000000019,15,13
ssd,2,75.06980347633362,3.4101594535372155,0.7430000000000021,10,13
ssd,3,82.32046270370483,3.1097978751822386,0.8460000000000027,20,18
ssd,4,87.60541439056396,2.922193813942782,0.8330000000000027,17,16
ssd,5,87.08623170852661,2.939615080106113,0.8280000000000027,16,14
ssd,6,100.06601285934448,2.558311185635432,0.8410000000000027,25,14
ssd,7,83.91133666038513,3.0508392571090885,0.8280000000000027,17,17
ssd,8,86.50205111503601,2.9594673964384346,0.8120000000000027,14,15
ssd,9,94.15259170532227,2.718990474539734,0.8050000000000028,16,15
ssd,10,108.30412483215332,2.3637142204578225,0.8320000000000027,14,20
ssd,11,78.71490359306335,3.2522430736046744,0.8480000000000028,24,18
ssd,12,71.92736840248108,3.559145922974842,0.8330000000000027,17,16
ssd,13,88.21174931526184,2.902107734935356,0.8020000000000027,16,16
ssd,14,89.61350989341736,2.8567121219163933,0.8400000000000027,17,17
ssd,15,104.3264992237091,2.4538348540868298,0.8410000000000027,12,14
ssd,16,87.08455157279968,2.9396717945546613,0.8440000000000027,12,20
ssd,17,96.705806016922,2.647204036076221,0.8090000000000027,14,14
ssd,18,78.11986136436462,3.2770155441773183,0.8480000000000028,23,20
ssd,19,71.61716771125793,3.5745619127543047,0.7830000000000025,14,12
ssd,20,75.97694849967957,3.369443035752873,0.8140000000000027,15,16
ssd,21,68.52256393432617,3.7359956385367767,0.750000000000002,13,13
ssd,22,69.44896960258484,3.686159801433136,0.7220000000000016,11,11
ssd,23,76.48168992996216,3.3472063736357174,0.747000000000002,13,11
ssd,24,70.0302586555481,3.655562679829094,0.7860000000000025,13,15
ssd,25,71.76191806793213,3.5673516942184045,0.7580000000000021,17,12
ssd,26,72.21755909919739,3.544844262160131,0.7570000000000022,16,13
ssd,27,72.22620916366577,3.5444197191617772,0.7990000000000026,12,17
ssd,28,74.98997497558594,3.4137896443270512,0.8090000000000027,14,17
ssd,29,70.67686152458191,3.6221189577151978,0.754000000000002,16,12
ssd,30,78.83871936798096,3.247135443754686,0.7550000000000021,11,15
ssd,31,67.94124937057495,3.7679613249925374,0.7760000000000024,13,12
ssd,32,61.221943378448486,4.181507248430761,0.7800000000000024,15,11
ssd,33,61.616705656051636,4.154717414283851,0.7890000000000025,15,11
ssd,34,63.58180594444275,4.026309039156432,0.7920000000000026,14,13
ssd,35,57.70121693611145,4.436648195538944,0.7700000000000022,14,11
ssd,36,58.95697855949402,4.342149246024677,0.7840000000000025,17,11
ssd,37,62.30464792251587,4.108842735430752,0.7860000000000025,16,10
ssd,38,59.001792669296265,4.338851218214238,0.7800000000000024,15,12
ssd,39,60.00590181350708,4.2662470234282095,0.7820000000000026,15,12
ssd,40,60.20558309555054,4.252097344422523,0.7860000000000025,14,13
ssd,41,58.851113080978394,4.349960206321794,0.7740000000000024,13,12
ssd,42,66.55372095108032,3.846516713741225,0.8170000000000027,18,14
ssd,43,54.2334840297699,4.720331075530317,0.7580000000000021,15,9
ssd,44,56.74847102165222,4.511134756429366,0.7810000000000024,15,10
ssd,45,62.885183811187744,4.070911214454552,0.7950000000000026,16,13
ssd,46,58.597594261169434,4.368780036583212,0.7690000000000022,13,12
ssd,47,55.864439249038696,4.582521608402347,0.7590000000000025,16,8
ssd,48,55.95282220840454,4.5752830669825775,0.7560000000000021,11,10
ssd,49,57.74514150619507,4.4332734031405145,0.7660000000000022,12,10
ssd,50,59.49984383583069,4.302532300863575,0.7800000000000027,16,12
ssd,51,54.71117424964905,4.679117264635243,0.7590000000000021,15,8
ssd,52,58.28863263130188,4.3919369599780955,0.7620000000000021,12,9
ssd,53,56.6725389957428,4.517178946565823,0.7600000000000021,13,10
ssd,54,57.26253962516785,4.470636504698155,0.7820000000000025,17,11
ssd,55,55.36198663711548,4.624111516770857,0.7710000000000022,16,11
ssd,56,53.01506853103638,4.828815789422795,0.7450000000000019,15,9
ssd,57,59.72320795059204,4.28644087926061,0.7650000000000022,15,8
ssd,58,55.834678173065186,4.584964190292318,0.7630000000000021,14,9
ssd,59,57.93438100814819,4.418792356890718,0.748000000000002,15,8
ssd,60,48.75927209854126,5.250283463679081,0.7360000000000023,15,9
ssd,61,50.66776180267334,5.052522371068952,0.750000000000002,14,9
