type,iter,elapsed_time,token/s,th_stop_draft,skipped_attn,skipped_mlp
base,0,18.0643150806427,14.171586293594029,0.6,0,0
ssd,0,23.14034414291382,11.062929678960455,0.8080000000000027,14,13
ssd,1,21.617839574813843,11.842071411162486,0.7800000000000024,15,14
ssd,2,23.16786479949951,11.049788239679744,0.7820000000000025,10,13
ssd,3,21.97125768661499,11.65158606992064,0.7720000000000025,14,14
ssd,4,22.835904836654663,11.21041630849179,0.8180000000000027,16,17
ssd,5,20.79786491394043,12.308955801920218,0.7520000000000022,14,11
ssd,6,21.909991025924683,11.684167268580424,0.7800000000000024,15,12
ssd,7,21.717360496520996,11.787804509715157,0.7780000000000024,13,15
ssd,8,22.24439239501953,11.50851843709239,0.7820000000000025,16,9
ssd,9,20.857069969177246,12.274015495863942,0.753000000000002,14,11
ssd,10,22.814788103103638,11.220792358144879,0.7960000000000026,15,14
ssd,11,20.722760438919067,12.353566541222506,0.738000000000002,15,10
ssd,12,23.704155921936035,10.799793961998677,0.8290000000000027,13,20
ssd,13,24.47073268890381,10.461476705847984,0.8460000000000027,18,23
ssd,14,23.092830419540405,11.08569176446128,0.8140000000000027,13,22
ssd,15,22.24672031402588,11.507314174242564,0.7910000000000026,12,12
ssd,16,23.605567455291748,10.844899216460544,0.8210000000000027,15,14
ssd,17,20.934054136276245,12.228878282892286,0.7480000000000021,14,11
ssd,18,23.14334464073181,11.061495387725646,0.8210000000000027,15,17
ssd,19,25.173609018325806,10.169380155767014,0.8380000000000027,22,13
ssd,20,21.719218254089355,11.786796237557933,0.7650000000000023,15,10
ssd,21,21.58549666404724,11.85981513348234,0.7600000000000027,11,13
ssd,22,22.973711490631104,11.143171189574623,0.8270000000000027,18,18
ssd,23,21.58748483657837,11.858722863639365,0.7670000000000022,12,13
ssd,24,21.784377574920654,11.751540713961962,0.7560000000000022,8,14
ssd,25,23.644405841827393,10.827085345791657,0.8300000000000027,17,19
ssd,26,26.18468999862671,9.776705395917471,0.8300000000000027,19,11
ssd,27,20.81323766708374,12.299864350507347,0.749000000000002,13,13
ssd,28,22.049803018569946,11.610081041739983,0.7830000000000025,16,13
ssd,29,20.94529962539673,12.222312622808854,0.7410000000000021,13,11
ssd,30,21.136651039123535,12.111663268043216,0.7520000000000021,14,12
ssd,31,20.618616580963135,12.415963941846663,0.7310000000000019,8,12
ssd,32,20.994818449020386,12.193484817295236,0.736000000000002,10,12
ssd,33,21.223546504974365,12.062074542536934,0.751000000000002,10,15
ssd,34,20.66313123703003,12.389216187197562,0.7210000000000025,9,13
ssd,35,19.91133761405945,12.856996599728072,0.6870000000000018,6,12
ssd,36,20.743756771087646,12.341062558003436,0.7100000000000022,5,13
ssd,37,23.346774101257324,10.965112305867272,0.7370000000000019,6,14
ssd,38,20.63676428794861,12.40504550170678,0.6950000000000017,6,13
ssd,39,20.830564498901367,12.289633342077781,0.734000000000002,10,11
ssd,40,20.338788747787476,12.5867869111846,0.7290000000000022,9,12
ssd,41,20.67017126083374,12.384996561933379,0.7260000000000021,7,12
ssd,42,20.018791437149048,12.787984769397145,0.6870000000000015,8,10
ssd,43,20.667990922927856,12.386303098092066,0.7370000000000019,8,12
ssd,44,20.21281671524048,12.665231353281694,0.712000000000002,7,13
