config,model_id,num_offload,type,task,latency(item/s),elapsed_time(s),length,rouge-1,rouge-2,rouge-l,rouge-lsum,model_memory(gb),peak_memory(gb),n_shot,num_iter
motivation,microsoft/Phi-3-mini-4k-instruct,6,base,xsum,32.91449325084686,1645.7246625423431,50,0.19924996867132289,0.04498933178517057,0.13510642347042268,0.13485232366008465,5.851949691772461,11.086011409759521,1,1
motivation,microsoft/Phi-3-mini-4k-instruct,6,base,cnn_dailymail,67.31292003154755,3365.6460015773773,50,0.28044871206047617,0.11337420833152903,0.18654596100179902,0.18697543294349644,5.851949691772461,15.455409526824951,1,1
motivation,microsoft/Phi-3-mini-4k-instruct,6,ssd_naive,xsum,36.38731607913971,1819.3658039569855,50,0.20473763002140838,0.049598421754464855,0.13863780739154485,0.13865241631150815,5.851949691772461,11.085817337036133,1,1
motivation,microsoft/Phi-3-mini-4k-instruct,6,ssd_naive,cnn_dailymail,73.96555233955384,3698.2776169776917,50,0.2959882817050129,0.11511201958334964,0.19228801794130962,0.19290431014286302,5.851949691772461,15.45533561706543,1,1
motivation,microsoft/Phi-3-mini-4k-instruct,6,ssd,xsum,20.20306869983673,1010.1534349918365,50,0.20540066946964675,0.04901623513777742,0.1383972933339142,0.13884464950883732,5.851949691772461,11.087175369262695,1,1
motivation,microsoft/Phi-3-mini-4k-instruct,6,ssd,cnn_dailymail,45.62388833045959,2281.1944165229797,50,0.2945867798476877,0.1159367375224003,0.19279278136366657,0.1938863356596629,5.851949691772461,15.455360412597656,1,1
