type,iter,elapsed_time,token/s,th_stop_draft,skipped_attn,skipped_mlp
base,0,27.54601502418518,9.293540273438246,0.6,0,0
ssd,0,30.44613027572632,8.408293523072134,0.8220000000000027,9,14
ssd,1,29.240345001220703,8.755026658861675,0.8220000000000027,21,10
ssd,2,35.869805097579956,7.13692196831233,0.8320000000000027,11,13
ssd,3,27.14917778968811,9.429383165232899,0.8040000000000027,15,13
ssd,4,26.93190050125122,9.50545617781807,0.7850000000000025,10,13
ssd,5,25.859377145767212,9.899697063736252,0.7850000000000025,13,11
ssd,6,27.793291330337524,9.210855848532248,0.8020000000000027,13,10
ssd,7,27.623069763183594,9.267615880303076,0.7950000000000026,9,14
ssd,8,28.741780042648315,8.906894410163044,0.8140000000000027,14,14
ssd,9,31.7366304397583,8.066388789633258,0.8340000000000027,13,11
ssd,10,27.20732569694519,9.409230545166864,0.8020000000000027,13,13
ssd,11,26.6395046710968,9.609788288509494,0.7850000000000025,13,11
ssd,12,32.0687837600708,7.982840943246138,0.8410000000000027,13,13
ssd,13,30.487709999084473,8.396826131175072,0.8320000000000027,15,14
ssd,14,28.10607600212097,9.10835080573615,0.7880000000000025,13,9
ssd,15,32.40693640708923,7.899543381212619,0.8430000000000027,13,17
ssd,16,29.79622745513916,8.591691696052143,0.8290000000000027,15,16
ssd,17,24.441421270370483,10.47402265065249,0.7650000000000023,12,11
ssd,18,27.922672271728516,9.168176939110444,0.8060000000000027,16,13
ssd,19,26.947786808013916,9.499852504542933,0.7970000000000026,13,11
ssd,20,26.005399227142334,9.844109592934373,0.7830000000000025,14,12
ssd,21,31.354063272476196,8.164810977616629,0.8380000000000027,18,14
ssd,22,24.41509747505188,10.485315500443482,0.7650000000000022,12,12
ssd,23,30.064499855041504,8.515026068430387,0.8240000000000027,13,14
ssd,24,24.552983045578003,10.426431669210379,0.7630000000000025,12,11
ssd,25,29.184542417526245,8.771766791391043,0.8100000000000027,11,10
ssd,26,30.402259826660156,8.420426687344804,0.8320000000000027,13,16
ssd,27,31.24458956718445,8.193418558100426,0.8350000000000027,17,17
ssd,28,29.051960945129395,8.811797609239138,0.8210000000000027,17,14
ssd,29,30.777238607406616,8.317835243945277,0.8360000000000027,14,16
ssd,30,30.00442099571228,8.532075990954239,0.8260000000000027,11,17
ssd,31,31.386542797088623,8.156361841283974,0.8380000000000027,15,14
ssd,32,31.179210662841797,8.210599131846886,0.8380000000000027,14,16
ssd,33,28.532976388931274,8.972074855089756,0.8150000000000027,15,16
ssd,34,30.03897762298584,8.5222607511152,0.8250000000000027,15,14
