config,model_id,num_offload,type,task,latency(item/s),elapsed_time(s),length,rouge-1,rouge-2,rouge-l,rouge-lsum,model_memory(gb),peak_memory(gb),n_shot,num_iter
evaluation,microsoft/Phi-3-medium-4k-instruct,4,base,xsum,178.24043667316437,8912.021833658218,50,0.06909667275561931,0.018956784067653172,0.0582174348968138,0.05810508377996958,23.535947799682617,27.38798952102661,1,1
evaluation,microsoft/Phi-3-medium-4k-instruct,4,base,cnn_dailymail,181.7552664899826,9087.76332449913,50,0.14573803016044062,0.05544861152324791,0.11347923571198382,0.11380831920754708,23.535947799682617,30.369406700134277,1,1
evaluation,microsoft/Phi-3-medium-4k-instruct,4,ssd_naive,xsum,180.72187569141389,9036.093784570694,50,0.0705870012669762,0.018009236280780966,0.05769499490687617,0.05753530942242373,23.535947799682617,27.38709831237793,1,1
evaluation,microsoft/Phi-3-medium-4k-instruct,4,ssd_naive,cnn_dailymail,193.67252363681794,9683.626181840897,50,0.15191663174378262,0.058086894034357905,0.11879957473582566,0.11947515469316172,23.535947799682617,30.369314193725586,1,1
evaluation,microsoft/Phi-3-medium-4k-instruct,4,ssd,xsum,58.75409924983978,2937.704962491989,50,0.0702998981355567,0.01790650074235548,0.05754107716076142,0.05747940080612411,23.535947799682617,27.386545181274414,1,1
evaluation,microsoft/Phi-3-medium-4k-instruct,4,ssd,cnn_dailymail,82.31435337543488,4115.717668771744,50,0.15362635436097954,0.05778657734090915,0.11912874440457727,0.11946917958305267,23.535947799682617,30.371473789215088,1,1
