type,iter,elapsed_time,token/s,th_stop_draft,skipped_attn,skipped_mlp
base,0,99.8236894607544,2.5645215217240214,0.6,0,0
ssd,0,151.02031469345093,1.6951361842917785,0.8260000000000027,19,18
ssd,1,158.2747712135315,1.6174403414845284,0.8160000000000027,22,22
ssd,2,147.52715492248535,1.7352737544115802,0.7990000000000026,18,19
ssd,3,145.19786143302917,1.7631113672984573,0.8170000000000027,19,20
ssd,4,149.47882413864136,1.712617164840422,0.8290000000000027,19,20
ssd,5,145.89258337020874,1.754715655081581,0.8120000000000027,25,16
ssd,6,107.98938798904419,2.3706033043355323,0.8280000000000027,26,23
ssd,7,143.7315218448639,1.7810985141889244,0.8210000000000027,21,19
ssd,8,129.05903124809265,1.983588420928763,0.8420000000000027,19,26
ssd,9,132.81432032585144,1.9275029934416739,0.8100000000000027,22,18
ssd,10,137.4951000213623,1.861884532323158,0.8340000000000027,19,18
ssd,11,109.93843817710876,2.3285759216225066,0.8280000000000027,22,24
ssd,12,121.41549110412598,2.1084624183618734,0.7220000000000016,16,13
ssd,13,141.68196868896484,1.8068636564614522,0.8330000000000027,18,18
ssd,14,134.09803295135498,1.9090511200329525,0.8300000000000027,18,21
ssd,15,125.66711115837097,2.037128073051493,0.7720000000000022,19,15
ssd,16,138.05434894561768,1.8543421627437715,0.8000000000000027,18,21
ssd,17,144.7186403274536,1.7689497318434655,0.8310000000000027,20,22
ssd,18,131.27902698516846,1.9500449224758665,0.8190000000000027,17,24
ssd,19,126.5892174243927,2.022289142856103,0.7970000000000026,24,18
ssd,20,162.1862633228302,1.5784320740557076,0.8360000000000027,16,18
ssd,21,152.04406142234802,1.6837224525914443,0.8260000000000027,14,25
ssd,22,118.38283038139343,2.1624757507084933,0.7880000000000025,21,18
ssd,23,125.42400979995728,2.0410765084635907,0.8280000000000027,24,21
ssd,24,114.67277359962463,2.2324392439814327,0.7810000000000024,23,12
ssd,25,87.91612148284912,2.911866398132009,0.7670000000000022,16,19
ssd,26,147.20990014076233,1.7390134750122948,0.8230000000000027,20,22
ssd,27,131.86500215530396,1.9413794093636467,0.8170000000000027,16,24
ssd,28,115.75163650512695,2.211631798299984,0.8160000000000027,18,19
ssd,29,131.35595393180847,1.94890290342605,0.7820000000000025,20,17
ssd,30,107.16037249565125,2.3889427970249817,0.8020000000000027,19,23
ssd,31,118.60969948768616,2.158339504321714,0.7550000000000021,15,16
ssd,32,117.5949239730835,2.176964713703087,0.8220000000000027,21,21
ssd,33,153.51531195640564,1.6675860976831898,0.8420000000000027,22,27
ssd,34,112.63573050498962,2.272813421214146,0.7740000000000024,20,15
ssd,35,150.36122941970825,1.7025665524815494,0.8290000000000027,20,23
ssd,36,149.07168841362,1.7172945629333225,0.8450000000000027,26,21
ssd,37,135.53551816940308,1.8888037870636303,0.8050000000000027,21,19
ssd,38,153.12545824050903,1.6718317315851514,0.8350000000000027,19,19
ssd,39,120.96632146835327,2.1162915172796564,0.7760000000000024,17,19
ssd,40,135.0496096611023,1.8955997032676688,0.7700000000000025,15,17
ssd,41,135.09860587120056,1.8949122261414275,0.8380000000000027,25,18
ssd,42,131.78667569160461,1.9425332542651603,0.8110000000000027,20,22
ssd,43,111.62066602706909,2.293482104271959,0.7840000000000025,21,19
ssd,44,116.05535626411438,2.205843902778644,0.7820000000000025,17,15
ssd,45,138.84310626983643,1.8438077833153164,0.8400000000000027,22,20
ssd,46,133.14077830314636,1.9227768025894907,0.7860000000000025,24,21
ssd,47,137.27404117584229,1.8648828125637733,0.8100000000000027,24,21
ssd,48,112.0799469947815,2.284083878197404,0.8200000000000027,14,21
ssd,49,147.222341299057,1.7388665180917058,0.7810000000000024,20,15
ssd,50,131.55171608924866,1.946002740293573,0.7940000000000026,21,19
ssd,51,135.6663818359375,1.8869818486762842,0.8170000000000027,22,21
ssd,52,96.96470975875854,2.640135783801243,0.7870000000000025,20,18
ssd,53,129.95948719978333,1.9698446455583338,0.8410000000000027,27,19
ssd,54,112.52480340003967,2.275053963790438,0.8290000000000027,24,23
ssd,55,134.53109979629517,1.902905725052654,0.8330000000000027,22,24
ssd,56,126.22084093093872,2.028191209247841,0.7490000000000021,17,18
ssd,57,131.21662878990173,1.9509722385102264,0.7830000000000025,16,24
ssd,58,125.82426977157593,2.034583633703958,0.7850000000000025,21,23
ssd,59,130.40270614624023,1.9631494434855405,0.7950000000000026,18,19
ssd,60,140.27143168449402,1.825033058590354,0.8310000000000027,25,19
ssd,61,136.93364477157593,1.8695186301879503,0.8310000000000027,22,27
ssd,62,118.03847479820251,2.1687843767691444,0.8170000000000027,21,23
ssd,63,161.42912673950195,1.585835252724293,0.8090000000000027,22,20
ssd,64,110.52888822555542,2.316136569451263,0.8140000000000027,20,23
ssd,65,152.28213000297546,1.6810902237511254,0.8160000000000027,20,19
ssd,66,140.0950083732605,1.827331344439692,0.7950000000000026,12,24
ssd,67,135.217768907547,1.8932423014244226,0.8460000000000027,22,26
ssd,68,107.2882764339447,2.386094813981043,0.7760000000000024,18,17
ssd,69,90.17455744743347,2.8389382465140804,0.7580000000000021,14,19
ssd,70,79.89087677001953,3.2043708912713864,0.7200000000000016,15,13
ssd,71,93.91312217712402,2.7259236416096724,0.7730000000000024,16,17
ssd,72,85.46427917480469,2.995403488706544,0.752000000000002,19,17
ssd,73,86.85606789588928,2.94740489872114,0.752000000000002,17,17
ssd,74,94.4437243938446,2.7106089011530434,0.7800000000000024,21,17
ssd,75,80.90071511268616,3.1643725230786774,0.7300000000000018,15,17
