type,iter,elapsed_time,token/s,th_stop_draft,skipped_attn,skipped_mlp
base,0,56.344687700271606,4.543462932331879,0.6,0,0
ssd,0,55.40381622314453,4.620620337215289,0.8080000000000027,14,13
ssd,1,50.70865201950073,5.048448140596433,0.7800000000000024,15,14
ssd,2,53.808225870132446,4.757636882841346,0.7820000000000025,10,13
ssd,3,50.64872622489929,5.054421287186261,0.7720000000000022,15,14
ssd,4,60.56145620346069,4.227111038082524,0.8190000000000027,14,18
ssd,5,54.865572690963745,4.665949655569032,0.8020000000000027,15,15
ssd,6,50.67361068725586,5.051939195333136,0.7720000000000022,15,14
ssd,7,53.46592736244202,4.788096132039247,0.7930000000000026,17,15
ssd,8,51.840009927749634,4.938270659222324,0.7830000000000025,15,16
ssd,9,50.90939784049988,5.028541111447693,0.7730000000000024,14,14
ssd,10,48.50319528579712,5.27800278912682,0.7500000000000024,13,14
ssd,11,49.05641984939575,5.2184811037153835,0.7580000000000021,14,12
ssd,12,52.14572215080261,4.9093192967902874,0.7820000000000027,15,14
ssd,13,49.556560754776,5.165814497635978,0.7740000000000024,14,15
ssd,14,55.75437641143799,4.591567810046956,0.7950000000000026,12,18
ssd,15,61.283206939697266,4.177327081657203,0.8470000000000028,18,20
ssd,16,45.83908820152283,5.584753319580545,0.7370000000000025,11,13
ssd,17,46.190369606018066,5.542280830042247,0.7280000000000021,13,14
ssd,18,48.952954053878784,5.229510760846839,0.7600000000000022,14,13
ssd,19,47.06988167762756,5.438721978382993,0.7400000000000019,11,14
ssd,20,48.64273285865784,5.262862198632308,0.7510000000000023,12,13
ssd,21,50.69875741004944,5.04943341962965,0.7710000000000022,13,13
ssd,22,45.84665131568909,5.583832028150653,0.7420000000000022,12,12
ssd,23,49.98090696334839,5.121955873824537,0.7660000000000022,12,11
ssd,24,48.42235517501831,5.286814304564714,0.7520000000000022,10,15
ssd,25,45.66097974777222,5.606537604189059,0.7240000000000018,13,11
ssd,26,51.31926774978638,4.988379827400512,0.7760000000000025,13,14
ssd,27,45.76923966407776,5.593276223920386,0.7350000000000018,12,12
ssd,28,45.09823799133301,5.676496719211029,0.7150000000000022,12,11
ssd,29,44.450220584869385,5.759251509477121,0.720000000000002,12,11
ssd,30,45.86074495315552,5.582116039795937,0.7320000000000025,13,11
ssd,31,45.18955421447754,5.665026009882265,0.7340000000000019,10,14
ssd,32,44.073326587677,5.808501872231677,0.7390000000000019,13,12
ssd,33,45.21837639808655,5.661415123494634,0.7440000000000019,14,11
ssd,34,45.44597935676575,5.633061573837293,0.7360000000000018,11,9
ssd,35,48.67827129364014,5.2590199527781225,0.7650000000000022,15,12
ssd,36,42.83535623550415,5.9763714486822455,0.7230000000000018,9,13
ssd,37,46.16982913017273,5.544746533027558,0.7450000000000019,12,15
ssd,38,44.404855728149414,5.765135271855299,0.7360000000000018,10,14
ssd,39,43.910810232162476,5.829999461328381,0.7300000000000021,13,13
ssd,40,43.54854655265808,5.878496993934106,0.728000000000002,11,12
ssd,41,42.881022453308105,5.970006901741929,0.7140000000000016,8,13
ssd,42,47.201913356781006,5.423508959583799,0.751000000000002,10,13
ssd,43,41.21076583862305,6.211969003499441,0.6980000000000013,10,11
ssd,44,44.75362944602966,5.720206454064725,0.7250000000000022,12,12
ssd,45,44.390690326690674,5.7669749696610495,0.7200000000000016,10,11
ssd,46,43.275803089141846,5.915545910787082,0.7100000000000016,11,11
ssd,47,42.068320989608765,6.085339133530767,0.6890000000000017,10,10
ssd,48,42.32847833633423,6.047937702032932,0.7020000000000014,10,11
ssd,49,43.90942573547363,5.830183285525919,0.7290000000000018,10,12
ssd,50,42.33406925201416,6.047138971593667,0.6990000000000018,9,10
ssd,51,41.40881967544556,6.182257837979427,0.7060000000000017,10,11
ssd,52,43.36471247673035,5.903417441943619,0.7030000000000016,10,11
ssd,53,42.67731857299805,5.998502449541694,0.7150000000000016,9,12
ssd,54,39.27900695800781,6.5174763779971085,0.6930000000000016,10,10
ssd,55,40.8327739238739,6.2694736457844025,0.6950000000000017,9,11
ssd,56,41.93125891685486,6.105230479905702,0.7170000000000016,9,10
ssd,57,42.409544944763184,6.0363769602675585,0.7080000000000015,12,10
ssd,58,42.94993758201599,5.960427754083452,0.7130000000000015,10,11
ssd,59,40.143444776535034,6.377130847266978,0.6970000000000015,10,10
ssd,60,39.03260636329651,6.55861916104901,0.6710000000000025,8,9
ssd,61,41.92879033088684,6.105589929490945,0.7020000000000017,10,8
ssd,62,43.80933332443237,5.843503668594503,0.7210000000000016,9,9
ssd,63,41.50210404396057,6.168361963741291,0.7090000000000016,10,8
ssd,64,42.40231108665466,6.037406769570426,0.6950000000000018,9,11
ssd,65,41.307857275009155,6.197368173702814,0.7060000000000015,11,9
ssd,66,38.34102749824524,6.676920695766862,0.6750000000000023,6,9
ssd,67,39.93784976005554,6.409959513044249,0.6860000000000026,7,10
ssd,68,38.63430595397949,6.626235250736553,0.677000000000002,5,10
ssd,69,40.5901255607605,6.306952650757052,0.7000000000000017,7,11
ssd,70,40.670469999313354,6.294493277415335,0.6810000000000014,3,9
ssd,71,37.741607904434204,6.782964855345311,0.6480000000000017,6,8
ssd,72,39.11033630371094,6.545584216203984,0.6590000000000013,7,9
ssd,73,38.35314917564392,6.674810426325362,0.6620000000000016,7,8
ssd,74,40.49961519241333,6.321047713262118,0.675000000000002,7,10
ssd,75,39.6905722618103,6.4498944059398085,0.6970000000000015,8,7
ssd,76,38.06688928604126,6.725004454038029,0.6640000000000015,6,8
ssd,77,39.53563451766968,6.475171149348465,0.6770000000000018,5,8
ssd,78,38.30542063713074,6.683127237398107,0.6860000000000013,7,7
ssd,79,39.741477966308594,6.441632598994624,0.696000000000002,7,8
ssd,80,38.86462759971619,6.586966499117297,0.673000000000002,6,7
