config,model_id,num_offload,type,task,latency(item/s),elapsed_time(s),length,rouge-1,rouge-2,rouge-l,rouge-lsum,model_memory(gb),peak_memory(gb),n_shot,num_iter
evaluation,microsoft/Phi-3-mini-4k-instruct,4,base,xsum,23.650503034591676,1182.5251517295837,50,0.1983336177622208,0.04485955792957234,0.13473897932260454,0.13605674909526677,6.273824691772461,11.507691860198975,1,1
evaluation,microsoft/Phi-3-mini-4k-instruct,4,base,cnn_dailymail,48.95637393951416,2447.818696975708,50,0.28209683173616557,0.11283918552686698,0.18672215496584005,0.18671942396090596,6.273824691772461,15.877061367034912,1,1
evaluation,microsoft/Phi-3-mini-4k-instruct,4,ssd_naive,xsum,25.99803849220276,1299.901924610138,50,0.20380754208788707,0.04690513811517609,0.13816127650245755,0.13773669771186847,6.273824691772461,11.507497787475586,1,1
evaluation,microsoft/Phi-3-mini-4k-instruct,4,ssd_naive,cnn_dailymail,59.506605677604675,2975.3302838802338,50,0.2829055204455393,0.11070809441479307,0.18380462993029978,0.1838154642844256,6.273824691772461,15.87728500366211,1,1
evaluation,microsoft/Phi-3-mini-4k-instruct,4,ssd,xsum,12.791474080085754,639.5737040042877,50,0.20371486776984898,0.04746938558651832,0.137528993428836,0.13882168918122734,6.273824691772461,11.508476734161377,1,1
evaluation,microsoft/Phi-3-mini-4k-instruct,4,ssd,cnn_dailymail,37.11311930179596,1855.655965089798,50,0.2806773159949639,0.11031026075577269,0.18404649770296821,0.18362759671331474,6.273824691772461,15.87713623046875,1,1
