config,model_id,num_offload,type,task,latency(item/s),elapsed_time(s),length,rouge-1,rouge-2,rouge-l,rouge-lsum,model_memory(gb),peak_memory(gb),n_shot,num_iter
evaluation,microsoft/Phi-3-medium-4k-instruct,2,base,xsum,100.05705104827881,5002.85255241394,50,0.0690854551677083,0.018884888126297343,0.05831363599986254,0.05810353221188101,24.809385299682617,28.66142702102661,1,1
evaluation,microsoft/Phi-3-medium-4k-instruct,2,base,cnn_dailymail,99.6460631942749,4982.303159713745,50,0.14584925198348025,0.05535050700779154,0.11357822440781061,0.113808828714284,24.809385299682617,31.642317295074463,1,1
evaluation,microsoft/Phi-3-medium-4k-instruct,2,ssd_naive,xsum,100.88162860393524,5044.081430196762,50,0.07220255387322998,0.018091937588369626,0.058876528567976386,0.05859425513325533,24.809385299682617,28.66053581237793,1,1
evaluation,microsoft/Phi-3-medium-4k-instruct,2,ssd_naive,cnn_dailymail,108.61353286266326,5430.676643133163,50,0.15239279464762623,0.057240124712469434,0.1173363393303143,0.1177186024812904,24.809385299682617,31.643619537353516,1,1
evaluation,microsoft/Phi-3-medium-4k-instruct,2,ssd,xsum,40.575416774749755,2028.7708387374878,50,0.07232573673501133,0.018333762511873092,0.05881502114571585,0.058713829327578376,24.809385299682617,28.66053581237793,1,1
evaluation,microsoft/Phi-3-medium-4k-instruct,2,ssd,cnn_dailymail,53.72598802566528,2686.299401283264,50,0.1527264673896222,0.05779234346256061,0.11787027226306296,0.11735620361280119,24.809385299682617,31.642472743988037,1,1
