type,iter,elapsed_time,token/s,th_stop_draft,skipped_attn,skipped_mlp
base,0,60.03031325340271,4.264512146044633,0.6,0,0
ssd,0,64.72444725036621,3.9552288335463777,0.8260000000000027,19,18
ssd,1,62.284581661224365,4.110166483776423,0.8160000000000027,22,22
ssd,2,58.72748136520386,4.359117640479649,0.7990000000000026,18,19
ssd,3,61.657944679260254,4.15193859172069,0.8170000000000027,19,20
ssd,4,65.41341376304626,3.9135704020483493,0.8290000000000027,19,20
ssd,5,59.96055841445923,4.2694732465711445,0.8120000000000027,25,16
ssd,6,63.12074947357178,4.055718636661395,0.8280000000000027,26,23
ssd,7,66.63766121864319,3.8416714410195865,0.8440000000000027,22,24
ssd,8,54.017455101013184,4.739208826503904,0.7770000000000024,18,17
ssd,9,62.772260665893555,4.0782345144866525,0.8190000000000027,21,18
ssd,10,67.20058226585388,3.809490801541452,0.8340000000000027,19,18
ssd,11,64.42841506004333,3.9734021046680055,0.8280000000000027,22,24
ssd,12,45.41230607032776,5.637238496621283,0.7220000000000016,16,13
ssd,13,65.62423896789551,3.900997619572237,0.8330000000000027,18,18
ssd,14,65.70150709152222,3.8964098592653578,0.8300000000000027,18,21
ssd,15,53.43307375907898,4.791040117854014,0.7720000000000022,19,15
ssd,16,58.99794578552246,4.33913412732448,0.8000000000000027,18,21
ssd,17,65.17099165916443,3.928128044128065,0.8310000000000027,20,22
ssd,18,60.830790281295776,4.208395104127305,0.8090000000000027,23,21
ssd,19,56.87610173225403,4.501011711476425,0.7830000000000025,18,20
ssd,20,60.442442417144775,4.235434402753129,0.7940000000000026,18,20
ssd,21,60.4395751953125,4.235635329545707,0.7880000000000025,18,18
ssd,22,59.74908113479614,4.284584718925711,0.7880000000000025,21,18
ssd,23,65.82001638412476,3.8893943524107826,0.8280000000000027,24,21
ssd,24,63.18849992752075,4.051370111549415,0.8140000000000027,23,23
ssd,25,53.27436685562134,4.8053128570027805,0.7670000000000022,16,19
ssd,26,63.99264192581177,4.000459932515164,0.8230000000000027,20,22
ssd,27,62.993558406829834,4.06390758792639,0.8170000000000027,16,24
ssd,28,62.64663052558899,4.086412914026283,0.8160000000000027,18,19
ssd,29,57.91952347755432,4.419925866607108,0.7820000000000025,20,17
ssd,30,59.1782386302948,4.325914490279326,0.8020000000000027,19,23
